date;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;wine type;sulphates;alcohol;quality;store type
13-01-2022;125;38;6;26;81;31;72;9996;31;red;73;105;medium;bar
13-01-2022;79;43;21;16;106;10;37;;317;red;91;95;medium;bar
13-01-2022;77;58;1;18;88;12;18;;332;red;56;105;high;restaurant
14-01-2022;88;27;46;21;95;20;29;;326;white;56;113;medium;bar
14-01-2022;93;39;4;26;73;10;26;;334;white;75;102;medium;bar
14-01-2022;103;53;48;25;63;6;25;;312;white;59;93;medium;bar
14-01-2022;79;104;5;22;84;13;29;9959;322;white;55;99;medium;restaurant
14-01-2022;65;4;1;2;76;30;47;;336;red;48;94;medium;store
15-01-2022;73;365;49;25;88;39;106;;336;red;78;11;medium;bar
15-01-2022;7;64;2;21;67;9;23;997;347;red;67;94;medium;store
15-01-2022;82;4;44;28;89;11;43;;353;white;61;105;medium;restaurant
16-01-2022;96;56;31;28;89;15;46;;311;white;92;10;medium;restaurant
16-01-2022;104;33;63;28;84;5;22;9998;326;red;74;112;high;bar
16-01-2022;65;9;0;16;52;9;17;;35;red;63;109;medium;restaurant
16-01-2022;62;46;17;16;73;7;11;;361;red;54;114;medium;restaurant
16-01-2022;88;61;19;4;94;30;69;;322;white;5;10;medium;store
17-01-2022;77;39;12;17;97;19;27;;316;white;49;94;medium;store
17-01-2022;51;42;0;18;44;18;88;99157;368;white;73;136;high;bar
17-01-2022;78;87;26;38;107;31;67;;326;white;46;92;medium;bar
17-01-2022;74;67;12;16;186;5;21;;339;white;54;95;medium;bar
17-01-2022;75;64;0;24;77;18;29;9965;332;white;6;10;medium;store
17-01-2022;106;36;6;22;152;7;18;;304;red;106;94;medium;store
18-01-2022;71;34;28;2;82;31;68;99694;345;white;48;94;medium;bar
18-01-2022;7;57;2;2;72;17;26;99575;336;red;61;102;medium;restaurant
18-01-2022;72;62;6;25;78;17;84;;351;red;53;97;medium;restaurant
18-01-2022;64;57;2;18;67;4;11;;346;white;68;95;medium;store
18-01-2022;65;46;14;24;114;9;37;;366;red;65;98;medium;restaurant
19-01-2022;88;31;4;28;109;7;16;;331;white;79;118;high;store
19-01-2022;79;4;29;18;157;1;44;;33;red;92;95;medium;restaurant
19-01-2022;93;655;26;2;96;5;35;;325;white;42;96;medium;bar
19-01-2022;69;63;2;19;78;18;30;;34;red;75;98;medium;bar
19-01-2022;7;45;34;27;82;16;72;998;355;red;6;95;medium;store
19-01-2022;11;3;58;21;54;7;19;;331;red;88;105;high;bar
20-01-2022;129;5;55;28;72;7;24;100012;309;red;68;109;medium;store
20-01-2022;67;64;23;21;8;11;119;99538;336;red;7;109;medium;restaurant
20-01-2022;11;26;68;255;85;10;25;;318;white;61;118;medium;restaurant
20-01-2022;99;44;46;22;91;10;41;;318;white;69;119;medium;bar
20-01-2022;83;3;49;38;9;11;24;99498;327;white;64;121;high;restaurant
20-01-2022;86;52;38;15;96;5;18;;32;red;52;94;medium;restaurant
21-01-2022;84;29;4;17;67;8;20;;339;white;6;105;medium;restaurant
21-01-2022;66;735;2;79;122;68;124;;347;white;53;99;medium;restaurant
21-01-2022;78;58;2;2;73;9;18;;336;white;57;95;high;store
21-01-2022;72;38;3;18;73;31;70;99685;342;white;59;95;medium;restaurant
21-01-2022;49;42;0;21;48;16;42;;371;red;74;14;high;restaurant
21-01-2022;75;57;2;26;77;11;35;;336;white;62;108;medium;restaurant
21-01-2022;68;56;3;17;84;18;35;;344;white;63;10;medium;store
21-01-2022;8;42;32;25;8;26;122;;322;red;107;97;medium;restaurant
21-01-2022;10;73;43;23;59;15;31;;315;white;57;11;medium;bar
22-01-2022;122;48;54;26;85;19;64;;31;red;61;105;medium;bar
22-01-2022;116;44;64;21;59;5;15;998;321;red;67;102;medium;store
22-01-2022;79;53;24;2;72;15;105;;327;white;54;94;medium;restaurant
22-01-2022;76;39;31;23;82;23;71;9982;352;red;65;97;medium;bar
22-01-2022;76;43;31;21;69;13;74;;326;white;54;99;medium;bar
23-01-2022;84;56;4;2;82;10;22;;322;white;44;96;medium;store
23-01-2022;104;34;58;37;174;6;16;;319;white;7;113;medium;store
23-01-2022;119;39;69;28;95;17;35;9994;31;white;61;108;medium;restaurant
23-01-2022;64;795;0;22;65;28;52;;349;white;52;116;medium;bar
23-01-2022;71;39;12;21;65;14;24;99252;33;red;53;133;medium;restaurant
24-01-2022;93;775;27;28;78;24;56;;331;red;67;106;medium;store
25-01-2022;78;58;13;21;102;17;36;;324;white;53;112;medium;bar
26-01-2022;127;6;49;28;75;5;19;;314;red;57;114;medium;restaurant
26-01-2022;64;64;21;18;81;14;31;99689;359;red;66;98;medium;restaurant
26-01-2022;67;64;23;21;8;11;119;99538;336;red;7;109;medium;restaurant
26-01-2022;78;44;28;27;1;18;95;;322;red;67;94;medium;bar
26-01-2022;56;62;3;15;8;6;13;;366;red;62;101;low;bar
27-01-2022;67;86;7;2;1;20;57;99598;36;red;74;117;medium;bar
27-01-2022;107;4;37;19;81;17;29;;312;white;65;112;medium;store
27-01-2022;84;59;29;26;109;31;119;;315;red;5;91;medium;bar
27-01-2022;67;7;8;375;67;8;16;;343;white;52;126;medium;store
27-01-2022;81;133;0;18;82;3;12;;354;white;48;109;medium;store
27-01-2022;82;78;0;22;89;13;26;;337;white;46;96;low;bar
28-01-2022;71;46;14;28;76;15;37;99624;336;white;49;107;medium;bar
28-01-2022;74;635;1;24;8;16;33;;358;white;69;108;high;store
28-01-2022;86;42;39;18;68;6;12;;335;white;69;117;high;store
28-01-2022;106;102;43;29;76;26;88;9984;308;white;57;101;medium;store
01-02-2022;64;42;9;23;54;34;64;;341;red;68;104;medium;store
01-02-2022;74;7;0;19;76;11;34;;351;red;56;94;medium;store
01-02-2022;10;38;38;16;169;27;90;;315;white;65;85;medium;store
02-02-2022;76;49;26;16;236;10;88;;311;white;8;93;medium;store
02-02-2022;86;53;22;2;1;7;27;;32;red;56;102;medium;store
02-02-2022;94;27;53;24;74;6;18;;32;red;113;12;high;bar
02-02-2022;89;745;18;25;77;15;48;;32;red;47;97;medium;bar
02-02-2022;77;43;25;26;73;29;63;;337;red;58;105;medium;bar
03-02-2022;72;36;46;21;74;24;44;;34;white;85;11;high;bar
03-02-2022;89;59;5;2;337;27;81;;304;white;161;95;medium;restaurant
03-02-2022;10;29;4;29;98;10;26;10006;348;white;91;97;medium;bar
04-02-2022;69;51;23;2;72;13;22;;34;red;84;112;medium;bar
04-02-2022;93;32;57;2;74;27;65;9969;328;white;79;107;medium;restaurant
04-02-2022;8;52;25;2;78;19;59;;33;white;48;102;medium;store
05-02-2022;69;41;31;2;79;21;51;;347;white;55;95;medium;store
05-02-2022;76;645;3;19;86;14;57;;337;white;46;103;medium;store
05-02-2022;74;62;5;19;68;24;42;;342;white;57;115;medium;bar
06-02-2022;9;8;12;24;83;8;28;;333;white;65;104;medium;store
06-02-2022;119;37;69;23;78;12;24;;3;red;65;128;medium;store
06-02-2022;103;41;42;24;213;6;14;;319;white;62;95;medium;restaurant
06-02-2022;82;28;6;3;104;10;22;;339;white;68;106;medium;restaurant
06-02-2022;76;55;21;22;71;7;28;;328;red;55;97;medium;store
07-02-2022;73;55;1;18;93;9;15;;335;white;58;11;high;bar
07-02-2022;10;56;24;22;79;19;58;;318;red;56;101;medium;store
07-02-2022;86;635;68;18;403;19;56;;302;red;115;93;medium;bar
07-02-2022;77;69;49;18;115;20;112;9968;321;red;71;93;medium;restaurant
07-02-2022;102;645;36;18;53;5;14;9982;317;red;42;10;medium;store
07-02-2022;71;59;2;23;82;24;94;99744;355;red;53;97;medium;store
07-02-2022;46;;15;21;54;8;65;9934;39;white;56;131;low;restaurant
08-02-2022;88;61;14;24;67;10;42;;319;red;59;95;medium;restaurant
08-02-2022;59;46;0;19;77;25;44;99385;35;white;53;112;medium;store
08-02-2022;104;61;49;21;2;5;16;;316;white;63;84;low;bar
08-02-2022;98;98;32;23;78;35;152;;325;white;48;94;medium;restaurant
08-02-2022;6;51;0;21;64;40;54;;354;white;93;107;medium;bar
08-02-2022;66;58;2;24;69;19;40;;338;white;66;126;medium;store
09-02-2022;85;37;32;18;66;26;51;;338;white;72;118;medium;bar
09-02-2022;13;32;65;26;93;15;47;;305;red;61;106;medium;store
09-02-2022;83;715;15;18;89;10;52;;323;white;77;95;medium;bar
09-02-2022;72;34;32;25;9;43;113;;332;white;79;111;medium;bar
09-02-2022;74;63;7;24;9;11;37;9979;343;white;76;97;medium;store
09-02-2022;67;675;7;24;89;17;82;;335;red;54;101;medium;store
10-02-2022;115;59;59;26;87;13;49;;318;red;65;11;medium;bar
11-02-2022;91;64;23;31;95;13;38;;328;red;59;97;medium;restaurant
11-02-2022;93;36;39;15;8;41;55;;347;red;73;109;medium;restaurant
11-02-2022;95;59;44;23;71;21;68;;346;white;63;95;medium;bar
12-02-2022;71;35;29;25;96;20;53;;342;red;65;11;medium;store
12-02-2022;114;625;66;62;88;6;24;;311;red;99;133;medium;restaurant
13-02-2022;9;82;5;24;81;26;96;;336;red;53;10;medium;store
13-02-2022;108;4;41;22;84;7;17;;308;white;67;93;medium;store
13-02-2022;7;805;0;25;68;7;20;;348;red;56;96;medium;restaurant
13-02-2022;128;;74;26;95;9;28;;32;white;77;108;high;bar
13-02-2022;86;45;31;26;86;21;50;;337;white;91;99;medium;store
14-02-2022;86;;17;29;99;21;119;998;309;red;52;93;medium;store
14-02-2022;8;81;25;34;76;34;85;;319;red;42;92;medium;restaurant
14-02-2022;77;69;5;27;75;15;27;9974;326;red;61;91;medium;restaurant
14-02-2022;114;36;69;21;9;6;21;1;317;white;62;92;medium;store
14-02-2022;106;44;68;41;114;6;24;;306;red;66;134;medium;restaurant
14-02-2022;112;;74;515;1;5;17;;322;white;62;112;medium;restaurant
14-02-2022;99;74;28;26;78;21;77;;328;red;51;98;medium;restaurant
14-02-2022;105;24;47;21;66;6;24;9978;315;white;9;11;high;store
15-02-2022;99;35;38;15;58;31;47;;326;red;82;106;high;restaurant
15-02-2022;56;54;4;17;49;5;13;9942;372;red;58;114;medium;store
15-02-2022;72;38;38;28;68;23;42;99356;334;red;72;129;high;bar
16-02-2022;127;6;65;23;63;6;25;;303;white;57;99;medium;bar
16-02-2022;64;38;14;22;38;15;25;;344;white;65;111;medium;restaurant
16-02-2022;8;6;22;21;8;25;105;;33;red;49;99;medium;restaurant
17-02-2022;72;62;6;27;77;15;85;99746;351;white;54;95;medium;restaurant
17-02-2022;75;57;8;26;89;14;27;;33;red;59;104;medium;restaurant
17-02-2022;96;5;36;28;116;26;55;99722;318;red;68;109;medium;restaurant
17-02-2022;10;69;11;14;84;8;24;;288;white;47;97;medium;bar
17-02-2022;87;52;9;25;91;20;49;;334;white;86;106;high;restaurant
17-02-2022;68;61;2;18;77;11;65;;354;white;58;93;medium;bar
18-02-2022;109;53;49;46;118;10;17;;307;white;56;117;medium;restaurant
18-02-2022;75;52;42;23;87;8;38;;358;red;61;105;medium;store
18-02-2022;128;615;66;58;83;7;42;;307;red;73;10;high;restaurant
18-02-2022;7;655;16;21;74;8;25;;337;white;55;97;medium;restaurant
18-02-2022;7;54;0;21;79;39;55;;339;white;84;114;medium;restaurant
19-02-2022;87;675;1;16;9;4;11;;331;white;65;955;medium;restaurant
19-02-2022;127;59;45;23;82;11;22;;3;red;7;93;medium;bar
19-02-2022;96;38;31;25;96;16;49;;319;red;7;10;high;restaurant
20-02-2022;113;34;45;2;82;6;15;;294;red;66;92;medium;bar
20-02-2022;77;54;26;19;89;23;147;;326;white;59;97;medium;restaurant
20-02-2022;123;5;49;22;89;5;14;;319;white;44;96;medium;store
20-02-2022;76;79;21;23;87;21;68;;312;white;44;92;medium;store
20-02-2022;78;43;32;28;8;29;58;;331;red;64;103;medium;bar
20-02-2022;75;58;56;31;153;5;14;99476;321;red;103;116;medium;bar
20-02-2022;77;58;1;18;102;28;109;99565;308;white;49;98;medium;store
21-02-2022;66;7;8;26;106;14;27;;344;white;58;102;medium;store
21-02-2022;68;64;1;21;85;18;101;;334;white;52;102;medium;restaurant
21-02-2022;99;35;55;21;62;5;14;9971;326;red;79;106;medium;store
21-02-2022;72;41;3;21;83;35;72;;344;red;52;94;medium;bar
21-02-2022;69;685;0;25;105;22;37;9966;346;white;57;106;medium;restaurant
21-02-2022;82;4;31;19;82;8;24;;324;red;69;106;medium;restaurant
21-02-2022;67;54;13;2;76;15;36;;361;white;64;98;medium;store
21-02-2022;89;22;48;18;77;29;60;;339;white;53;94;medium;restaurant
22-02-2022;92;67;1;3;91;12;48;;331;white;54;95;medium;bar
22-02-2022;115;31;51;22;79;14;28;;303;red;93;98;medium;store
22-02-2022;74;74;7;17;86;15;48;;312;red;48;10;medium;restaurant
23-02-2022;115;315;54;21;84;5;15;;298;red;7;92;medium;bar
23-02-2022;78;59;33;2;74;24;120;;325;red;54;94;medium;restaurant
23-02-2022;97;31;47;16;62;13;33;;327;red;66;10;medium;store
23-02-2022;92;36;34;16;62;5;12;;32;red;67;105;medium;restaurant
23-02-2022;84;56;4;2;82;10;22;;322;white;44;96;medium;bar
23-02-2022;66;58;0;22;1;50;63;;359;red;68;114;medium;store
23-02-2022;107;67;22;27;107;17;34;;328;red;98;99;medium;store
24-02-2022;76;43;29;21;75;19;66;;34;red;64;95;medium;store
24-02-2022;79;33;23;17;77;18;45;;329;red;65;93;medium;store
25-02-2022;68;64;0;27;123;15;33;;344;white;63;113;medium;bar
25-02-2022;76;31;34;25;82;26;35;;322;red;59;125;high;store
25-02-2022;112;4;5;2;99;19;50;;31;white;58;104;medium;store
26-02-2022;91;5;3;19;65;8;17;;332;red;71;105;medium;store
26-02-2022;77;41;76;18;611;8;45;;306;red;126;94;medium;bar
26-02-2022;67;28;28;24;12;36;100;;326;white;39;117;high;restaurant
27-02-2022;91;28;46;9;114;3;9;;318;white;6;109;medium;bar
27-02-2022;77;26;3;17;59;20;38;9949;329;white;47;108;medium;restaurant
27-02-2022;73;107;9;17;178;10;89;;33;white;57;9;medium;store
27-02-2022;78;55;0;17;7;7;17;;326;red;64;94;medium;bar
27-02-2022;93;38;48;38;132;3;11;;323;red;57;132;medium;store
27-02-2022;75;58;2;2;73;34;44;;31;white;43;93;medium;restaurant
27-02-2022;85;46;59;14;414;16;45;;303;white;134;92;medium;store
27-02-2022;132;38;55;27;81;5;16;;298;white;54;94;medium;restaurant
28-02-2022;73;38;21;2;8;7;35;9961;333;red;47;95;medium;store
28-02-2022;61;32;25;23;71;23;58;;342;white;97;106;medium;store
28-02-2022;94;41;48;46;72;10;20;;334;white;79;122;high;store
28-02-2022;89;875;13;345;88;4;14;9994;344;white;52;115;medium;bar
28-02-2022;96;38;42;19;71;5;13;;315;red;75;105;medium;store
28-02-2022;68;81;5;2;7;6;14;;351;red;66;108;medium;store
01-03-2022;77;1005;15;21;102;11;32;;323;red;48;10;medium;bar
01-03-2022;65;34;27;28;67;8;44;;321;red;56;12;medium;restaurant
01-03-2022;104;26;48;19;66;6;10;99724;333;white;87;109;medium;restaurant
01-03-2022;67;48;8;21;64;18;34;;333;red;64;97;medium;store
02-03-2022;66;;2;78;73;29;79;;329;red;54;92;medium;restaurant
02-03-2022;69;39;24;21;102;4;7;;344;red;58;114;low;bar
02-03-2022;91;76;68;17;414;18;64;;29;red;133;91;medium;store
02-03-2022;76;68;2;13;72;9;20;9965;317;white;108;92;low;store
02-03-2022;102;54;37;154;214;55;95;100369;318;white;77;9;medium;restaurant
03-03-2022;82;39;49;23;99;47;133;;338;red;99;98;medium;restaurant
03-03-2022;115;18;51;4;104;4;23;;328;white;97;101;medium;store
04-03-2022;81;29;36;22;48;35;53;;327;red;101;124;high;bar
05-03-2022;7;36;21;24;86;24;69;;34;white;53;101;medium;store
05-03-2022;88;24;35;17;55;13;27;;314;white;59;113;high;bar
05-03-2022;72;635;7;26;77;16;86;;351;red;54;97;medium;store
05-03-2022;81;545;18;19;8;13;35;;33;white;59;9;medium;restaurant
05-03-2022;74;36;34;18;75;18;38;;338;white;88;136;high;restaurant
05-03-2022;76;715;0;21;68;30;35;;348;white;65;114;medium;bar
05-03-2022;67;46;24;17;77;18;34;;339;white;6;106;medium;restaurant
06-03-2022;99;35;41;23;83;11;61;;321;red;5;95;medium;store
06-03-2022;63;3;48;18;69;18;61;9959;344;white;78;103;medium;bar
06-03-2022;126;38;66;26;88;10;41;1001;317;red;68;98;medium;bar
07-03-2022;67;104;8;23;67;19;32;;352;white;57;11;low;store
07-03-2022;66;725;9;55;117;9;17;;335;white;49;108;medium;bar
07-03-2022;103;27;56;14;47;3;8;;316;red;51;118;medium;store
07-03-2022;88;6;29;22;98;5;15;;336;white;49;91;medium;store
07-03-2022;7;685;0;19;99;9;22;;334;red;6;97;medium;store
07-03-2022;72;66;3;23;78;16;86;;353;red;57;97;medium;restaurant
07-03-2022;72;58;3;23;77;7;28;99568;335;white;52;10;medium;restaurant
08-03-2022;78;53;1;16;77;3;19;;316;red;46;98;medium;bar
08-03-2022;91;29;33;205;63;13;27;99516;326;red;84;117;high;restaurant
08-03-2022;101;45;23;19;82;10;18;99774;322;red;65;93;medium;restaurant
08-03-2022;114;26;44;36;71;6;19;;312;white;82;93;medium;bar
08-03-2022;79;18;4;18;62;7;20;;328;white;7;111;medium;store
08-03-2022;82;2;43;25;76;31;51;;353;red;81;104;medium;store
09-03-2022;84;36;32;22;81;32;79;;33;red;72;11;medium;restaurant
09-03-2022;7;42;35;16;88;16;39;;334;white;55;92;medium;bar
09-03-2022;61;48;9;17;78;18;30;;345;red;54;112;medium;bar
09-03-2022;69;49;19;17;79;13;26;;338;red;64;98;medium;restaurant
10-03-2022;7;975;4;2;87;12;67;;335;red;6;94;low;bar
10-03-2022;77;715;1;21;64;31;43;;341;white;57;118;medium;store
10-03-2022;128;3;74;26;95;9;28;;32;red;77;108;high;restaurant
11-03-2022;56;5;9;23;49;17;99;;363;red;63;13;medium;restaurant
11-03-2022;75;63;12;51;111;50;110;;326;white;77;94;medium;restaurant
11-03-2022;132;46;52;22;71;12;35;;31;white;56;9;medium;restaurant
11-03-2022;69;4;24;25;83;30;45;;326;red;58;10;medium;bar
12-03-2022;88;61;19;4;94;30;69;;322;white;5;10;medium;store
12-03-2022;122;45;49;14;75;3;6;;313;white;63;104;medium;store
12-03-2022;98;66;39;32;83;21;59;9989;337;red;71;115;high;store
12-03-2022;122;34;5;24;66;10;21;1;312;red;118;92;medium;bar
12-03-2022;71;48;28;28;68;6;16;;324;red;53;103;medium;bar
12-03-2022;127;6;49;28;75;5;19;9994;314;red;57;114;medium;store
12-03-2022;78;62;5;23;79;6;18;;329;white;63;93;medium;bar
12-03-2022;83;65;1;29;89;17;40;;329;white;55;95;medium;restaurant
12-03-2022;102;24;49;24;75;10;28;;314;red;61;104;medium;bar
13-03-2022;71;65;18;18;7;13;40;997;344;red;6;91;medium;restaurant
13-03-2022;96;77;12;29;82;30;74;99865;33;red;64;104;medium;bar
13-03-2022;79;52;26;19;79;42;140;;323;red;54;95;medium;restaurant
13-03-2022;6;42;19;2;75;22;47;;339;red;78;10;medium;store
13-03-2022;104;575;61;26;76;11;24;;316;red;69;9;medium;restaurant
13-03-2022;83;705;12;26;92;12;28;;351;white;72;10;medium;restaurant
13-03-2022;8;39;3;19;74;32;84;;339;white;61;9;medium;restaurant
13-03-2022;9;48;32;28;84;21;122;;332;white;62;94;medium;store
13-03-2022;103;34;52;28;159;15;75;;318;white;64;94;medium;store
14-03-2022;83;58;13;29;96;14;63;;317;red;62;91;medium;bar
14-03-2022;85;21;52;19;9;9;23;;336;white;67;104;medium;store
14-03-2022;119;4;65;215;68;7;27;9988;306;red;68;113;medium;store
14-03-2022;75;61;26;19;73;24;88;;33;white;53;98;medium;restaurant
14-03-2022;6;5;0;14;57;15;26;;336;red;45;95;medium;bar
15-03-2022;62;36;24;22;95;19;42;;357;white;57;117;medium;restaurant
15-03-2022;101;37;34;24;85;5;17;;317;white;65;106;high;bar
15-03-2022;102;33;46;19;81;6;9;;31;red;48;104;medium;store
15-03-2022;65;39;23;83;51;28;91;9952;344;white;55;121;medium;store
15-03-2022;94;4;31;22;9;13;62;9966;307;red;63;105;medium;store
16-03-2022;106;36;57;23;87;6;20;;314;white;72;111;high;bar
16-03-2022;68;83;9;18;74;4;25;;338;red;45;96;medium;bar
16-03-2022;88;48;41;33;92;26;52;;331;red;53;105;medium;store
16-03-2022;57;6;0;14;63;11;18;;345;white;56;122;medium;restaurant
16-03-2022;71;;14;28;76;15;37;99624;336;white;49;107;medium;restaurant
16-03-2022;88;41;64;22;93;9;42;;354;red;66;105;medium;restaurant
16-03-2022;10;59;31;22;9;26;62;;318;white;63;102;medium;bar
17-03-2022;91;66;15;32;97;9;59;;328;red;54;96;medium;restaurant
17-03-2022;72;53;13;2;58;18;22;;321;white;68;99;medium;store
17-03-2022;73;58;3;24;74;15;55;;346;red;59;102;medium;store
17-03-2022;72;37;32;2;62;15;28;9947;323;red;73;113;high;store
18-03-2022;10;49;2;11;71;13;50;;316;white;69;92;medium;store
18-03-2022;66;5;0;18;62;21;28;;344;red;55;123;medium;bar
18-03-2022;88;3;38;23;6;19;72;99543;339;red;72;118;medium;restaurant
18-03-2022;76;665;1;15;66;27;55;99655;339;red;51;93;medium;restaurant
18-03-2022;133;34;52;32;94;17;53;;305;red;81;95;medium;bar
18-03-2022;75;6;3;18;95;25;99;;335;white;54;101;medium;restaurant
18-03-2022;10;46;44;29;65;4;8;99674;333;red;62;122;medium;restaurant
19-03-2022;91;25;34;2;71;45;67;;344;white;86;102;high;restaurant
19-03-2022;83;26;37;14;76;8;23;9974;326;red;7;96;medium;store
19-03-2022;76;78;0;17;76;33;45;;331;white;62;107;medium;bar
19-03-2022;12;37;76;42;66;7;38;;322;white;6;13;high;restaurant
19-03-2022;9;53;49;19;171;6;25;9975;327;white;61;94;medium;restaurant
19-03-2022;99;4;53;67;97;6;19;;327;red;82;117;high;store
20-03-2022;5;102;4;14;45;41;85;;375;red;48;105;low;restaurant
20-03-2022;89;31;36;26;56;10;39;;34;red;69;118;medium;bar
21-03-2022;78;91;7;19;58;22;47;;351;white;43;107;medium;restaurant
22-03-2022;113;36;66;24;123;3;8;;32;red;53;119;medium;restaurant
22-03-2022;94;27;53;24;74;6;18;;32;red;113;12;high;restaurant
22-03-2022;73;33;47;21;77;5;11;;333;red;53;103;medium;bar
22-03-2022;76;74;0;19;1;6;12;;336;white;59;11;medium;store
22-03-2022;83;34;4;24;65;24;48;;334;white;86;11;medium;bar
23-03-2022;86;49;29;2;11;19;133;;293;red;198;98;medium;bar
24-03-2022;7;42;19;23;71;18;36;99476;339;white;56;109;medium;bar
24-03-2022;89;61;49;2;27;23;110;;312;red;102;93;medium;bar
24-03-2022;69;605;12;107;73;40;83;;345;red;52;94;medium;restaurant
24-03-2022;8;71;0;26;8;11;34;;344;red;53;95;medium;bar
24-03-2022;71;43;42;55;71;28;128;9973;342;red;71;105;medium;bar
25-03-2022;72;36;46;21;74;24;44;99534;34;white;85;11;high;restaurant
25-03-2022;72;1;0;3;102;7;16;;343;white;46;10;medium;bar
25-03-2022;8;77;32;21;79;16;74;;327;red;5;98;medium;store
25-03-2022;77;43;25;26;73;29;63;99615;337;red;58;105;medium;restaurant
25-03-2022;74;53;26;2;101;16;72;;315;red;57;94;medium;restaurant
25-03-2022;85;47;27;19;58;18;38;;316;white;85;111;medium;restaurant
26-03-2022;82;24;34;51;62;8;22;;322;red;94;109;medium;bar
26-03-2022;62;63;31;17;88;15;64;;346;red;79;93;medium;bar
26-03-2022;93;61;26;34;9;25;87;;324;red;62;97;medium;restaurant
26-03-2022;79;29;49;22;96;21;59;;331;red;67;101;medium;store
26-03-2022;62;46;29;21;74;32;98;;333;white;62;98;medium;store
27-03-2022;88;;54;25;83;25;57;9983;339;red;54;92;medium;restaurant
27-03-2022;78;7;6;19;79;20;35;;34;red;69;109;medium;bar
27-03-2022;81;575;22;21;77;12;65;;329;red;51;92;medium;restaurant
27-03-2022;116;53;66;365;121;6;14;;305;white;74;115;high;store
28-03-2022;7;58;12;19;91;34;124;;344;white;48;105;medium;bar
01-04-2022;72;725;5;465;86;4;11;;341;white;39;109;medium;bar
01-04-2022;74;6;26;21;83;17;91;;329;white;56;98;medium;store
01-04-2022;103;44;5;45;107;5;13;;328;white;83;115;medium;bar
01-04-2022;64;36;21;22;47;26;48;99661;347;white;77;97;medium;restaurant
02-04-2022;76;3;42;2;52;6;24;;344;white;82;119;medium;restaurant
